star_id,cluster,star_id_base,subtipo_rrlyrae
OGLEIII_OGLE-BLG-RRLYR-00652,6,OGLE-BLG-RRLYR-00652,RRc
OGLEIII_OGLE-BLG-RRLYR-00653,6,OGLE-BLG-RRLYR-00653,RRc
OGLEIII_OGLE-BLG-RRLYR-00654,2,OGLE-BLG-RRLYR-00654,RRab
OGLEIII_OGLE-BLG-RRLYR-00658,4,OGLE-BLG-RRLYR-00658,RRab
OGLEIII_OGLE-BLG-RRLYR-00659,4,OGLE-BLG-RRLYR-00659,RRab
OGLEIII_OGLE-BLG-RRLYR-00674,1,OGLE-BLG-RRLYR-00674,RRab
OGLEIII_OGLE-BLG-RRLYR-00679,6,OGLE-BLG-RRLYR-00679,RRc
OGLEIII_OGLE-BLG-RRLYR-00687,1,OGLE-BLG-RRLYR-00687,RRab
OGLEIII_OGLE-BLG-RRLYR-00703,1,OGLE-BLG-RRLYR-00703,RRab
OGLEIII_OGLE-BLG-RRLYR-00712,2,OGLE-BLG-RRLYR-00712,RRc
OGLEIII_OGLE-BLG-RRLYR-00714,1,OGLE-BLG-RRLYR-00714,RRab
OGLEIII_OGLE-BLG-RRLYR-00717,4,OGLE-BLG-RRLYR-00717,RRab
OGLEIII_OGLE-BLG-RRLYR-00718,2,OGLE-BLG-RRLYR-00718,RRc
OGLEIII_OGLE-BLG-RRLYR-00719,6,OGLE-BLG-RRLYR-00719,RRc
OGLEIII_OGLE-BLG-RRLYR-00725,1,OGLE-BLG-RRLYR-00725,RRab
OGLEIII_OGLE-BLG-RRLYR-00729,4,OGLE-BLG-RRLYR-00729,RRab
OGLEIII_OGLE-BLG-RRLYR-00730,6,OGLE-BLG-RRLYR-00730,RRc
OGLEIII_OGLE-BLG-RRLYR-00742,1,OGLE-BLG-RRLYR-00742,RRab
OGLEIII_OGLE-BLG-RRLYR-00743,4,OGLE-BLG-RRLYR-00743,RRab
OGLEIII_OGLE-BLG-RRLYR-00749,4,OGLE-BLG-RRLYR-00749,RRab
OGLEIII_OGLE-BLG-RRLYR-00756,1,OGLE-BLG-RRLYR-00756,RRab
OGLEIII_OGLE-BLG-RRLYR-00757,3,OGLE-BLG-RRLYR-00757,RRab
OGLEIII_OGLE-BLG-RRLYR-00761,5,OGLE-BLG-RRLYR-00761,RRab
OGLEIII_OGLE-BLG-RRLYR-00771,6,OGLE-BLG-RRLYR-00771,RRc
OGLEIII_OGLE-BLG-RRLYR-00774,1,OGLE-BLG-RRLYR-00774,RRab
OGLEIII_OGLE-BLG-RRLYR-00776,2,OGLE-BLG-RRLYR-00776,RRc
OGLEIII_OGLE-BLG-RRLYR-00778,3,OGLE-BLG-RRLYR-00778,RRc
OGLEIII_OGLE-BLG-RRLYR-00781,2,OGLE-BLG-RRLYR-00781,RRc
OGLEIII_OGLE-BLG-RRLYR-00786,3,OGLE-BLG-RRLYR-00786,RRab
OGLEIII_OGLE-BLG-RRLYR-00800,2,OGLE-BLG-RRLYR-00800,RRc
OGLEIII_OGLE-BLG-RRLYR-00809,1,OGLE-BLG-RRLYR-00809,RRab
OGLEIII_OGLE-BLG-RRLYR-00829,1,OGLE-BLG-RRLYR-00829,RRab
OGLEIII_OGLE-BLG-RRLYR-00854,2,OGLE-BLG-RRLYR-00854,RRc
OGLEIII_OGLE-BLG-RRLYR-00856,1,OGLE-BLG-RRLYR-00856,RRab
OGLEIII_OGLE-BLG-RRLYR-00860,3,OGLE-BLG-RRLYR-00860,RRab
OGLEIII_OGLE-BLG-RRLYR-00862,6,OGLE-BLG-RRLYR-00862,RRc
OGLEIII_OGLE-BLG-RRLYR-00870,2,OGLE-BLG-RRLYR-00870,RRc
OGLEIII_OGLE-BLG-RRLYR-00917,5,OGLE-BLG-RRLYR-00917,RRab
OGLEIII_OGLE-BLG-RRLYR-00920,1,OGLE-BLG-RRLYR-00920,RRab
OGLEIII_OGLE-BLG-RRLYR-00921,5,OGLE-BLG-RRLYR-00921,RRab
OGLEIII_OGLE-BLG-RRLYR-00926,4,OGLE-BLG-RRLYR-00926,RRab
OGLEIII_OGLE-BLG-RRLYR-00927,1,OGLE-BLG-RRLYR-00927,RRab
OGLEIII_OGLE-BLG-RRLYR-00928,5,OGLE-BLG-RRLYR-00928,RRab
OGLEIII_OGLE-BLG-RRLYR-00931,3,OGLE-BLG-RRLYR-00931,RRab
OGLEIII_OGLE-BLG-RRLYR-00932,2,OGLE-BLG-RRLYR-00932,RRc
OGLEIII_OGLE-BLG-RRLYR-00933,1,OGLE-BLG-RRLYR-00933,RRab
OGLEIII_OGLE-BLG-RRLYR-00935,1,OGLE-BLG-RRLYR-00935,RRab
OGLEIII_OGLE-BLG-RRLYR-00936,2,OGLE-BLG-RRLYR-00936,RRc
OGLEIII_OGLE-BLG-RRLYR-00937,5,OGLE-BLG-RRLYR-00937,RRab
OGLEIII_OGLE-BLG-RRLYR-00939,1,OGLE-BLG-RRLYR-00939,RRab
OGLEIII_OGLE-BLG-RRLYR-00940,3,OGLE-BLG-RRLYR-00940,RRab
OGLEIII_OGLE-BLG-RRLYR-00941,5,OGLE-BLG-RRLYR-00941,RRab
OGLEIII_OGLE-BLG-RRLYR-00942,1,OGLE-BLG-RRLYR-00942,RRab
OGLEIII_OGLE-BLG-RRLYR-00943,6,OGLE-BLG-RRLYR-00943,RRc
OGLEIII_OGLE-BLG-RRLYR-00944,2,OGLE-BLG-RRLYR-00944,RRc
OGLEIII_OGLE-BLG-RRLYR-00945,5,OGLE-BLG-RRLYR-00945,RRab
OGLEIII_OGLE-BLG-RRLYR-00946,5,OGLE-BLG-RRLYR-00946,RRab
OGLEIII_OGLE-BLG-RRLYR-00948,2,OGLE-BLG-RRLYR-00948,RRc
OGLEIII_OGLE-BLG-RRLYR-00950,1,OGLE-BLG-RRLYR-00950,RRab
OGLEIII_OGLE-BLG-RRLYR-00951,3,OGLE-BLG-RRLYR-00951,RRd
OGLEIII_OGLE-BLG-RRLYR-00953,6,OGLE-BLG-RRLYR-00953,RRc
